0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/picture/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/picture/admin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/picture/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/picture/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:13 +0800] "POST /Music/servlet/Login HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:13 +0800] "GET /Music/servlet/js/jquery-1.8.3.min.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:13 +0800] "GET /Music/picture/my.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:13 +0800] "GET /Music/picture/set.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:13 +0800] "GET /Music/picture/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:14 +0800] "GET /Music/ HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:14 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:14 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:21 +0800] "GET /Music/adminLogin.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:42:33 +0800] "POST /Music/servlet/Login HTTP/1.1" 200 4436
